Conjunto,Tipo_motor,Motor,Marca,kv,Peso_Motor_g,n_celulas,prop_diam,prop_pitch,n_pas,corrente_min,corrente_max,empuxo_min,empuxo_max,coef_angularEI,coef_linearEI
90,Brushless,RS1606,Emax,3300,15.8,4,3,3.2,3,0,5.1,0,226,44.31372549019607,0
91,Brushless,RS1606,Emax,3300,15.8,4,3,5.2,3,0,8.1,0,294,36.296296296296305,0
92,Brushless,RS1606,Emax,3300,15.8,4,3,5.6,3,0,5.6,0,250,44.64285714285715,0
93,Brushless,RS1606,Emax,3300,15.8,4,4,4.3,3,0,9.5,0,432,45.47368421052632,0
94,Brushless,RS1606,Emax,4000,15.8,3,4,5.2,3,0,12.8,0,370,28.906249999999996,0
95,Brushless,RS1606,Emax,4000,15.8,3,4,4.5,3,0,10.1,0,365,36.13861386138614,0
96,Brushless,RS1606,Emax,4000,15.8,3,4,4,3,0,11.2,0,368,32.85714285714286,0
97,Brushless,RS1606,Emax,4000,15.8,3,4,4.3,3,0,9.5,0,353,37.15789473684211,0
98,Brushless,RS1606,Emax,4000,15.8,4,3,3.2,3,0,8.1,0,307,37.90123456790123,0
99,Brushless,RS1606,Emax,4000,15.8,4,3,5.2,3,0,11.6,0,360,31.034482758620694,0
100,Brushless,RS1606,Emax,4000,15.8,4,3,5.6,3,0,8.5,0,333,39.1764705882353,0
101,Brushless,RS1606,Emax,4000,15.8,4,4,4.3,3,0,12.8,0,494,38.59375,0
