timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
72042335,15.741065,15.913967,0.79359996,0.6763163,0.0,3.4825046,0.66652125,1.0556763,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
72552763,15.902146,15.893901,0.7564,0.6977641,0.0,3.581985,0.66656846,1.0570091,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73052789,15.911095,15.877548,0.7068,0.712949,0.0,3.6827538,0.6665818,1.0580978,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
73552465,15.955839,15.863288,0.558,0.7123854,0.0,3.782551,0.6665691,1.059049,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74052919,15.946891,15.856002,0.8556,0.7078395,0.0,3.8804843,0.66653776,1.0595356,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
74552540,15.86635,15.8550825,0.64479995,0.69803447,0.0,3.9764068,0.6665017,1.0595971,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75052345,15.920043,15.854388,0.5952,0.6853115,0.0,4.070427,0.666465,1.0596435,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
75552536,15.660526,15.803687,2.5296001,1.8138268,0.0,4.3934174,0.6663799,1.0600073,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76052678,15.436805,15.699784,6.2868,3.5070646,0.0,4.9718614,0.66622764,1.0621202,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
76563282,14.59561,15.482355,13.1936,7.1810756,0.0,6.2077827,0.66584134,1.0694731,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77062433,14.828281,15.26192,12.7596,10.366,0.0,7.8963394,0.66506416,1.0775269,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
77562336,14.998309,15.144955,10.602,11.516936,0.0,9.611847,0.6640493,1.0809804,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78062343,15.409958,15.147186,4.4392,9.573018,0.0,10.874751,0.663008,1.082,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
78572532,15.222031,15.1098,9.672,9.767459,0.0,12.14819,0.6619922,1.0851347,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79072571,14.783537,15.058537,9.3,9.64934,0.0,13.473526,0.66077685,1.0878347,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
79572549,15.284674,15.016121,11.2964,10.146177,0.0,14.922912,0.6593832,1.090465,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
80072346,14.667201,14.980999,12.486799,10.534905,0.0,16.376585,0.6579803,1.0920852,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
80572669,15.141492,14.945338,11.284,11.2488,0.0,18.02605,0.6564272,1.0924609,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
81072544,14.819332,14.937413,11.184799,11.015173,0.0,19.521366,0.6549482,1.0929025,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
81583420,15.302571,14.94272,8.2336,10.457632,0.0,20.999737,0.65339136,1.093147,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
82082382,15.060951,14.900512,8.618,11.582026,0.0,22.650116,0.6517855,1.09646,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
82582333,14.855127,14.89843,11.47,11.150422,0.0,24.137707,0.65011114,1.0966624,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
83085045,14.810384,14.890491,11.184799,11.022627,0.0,25.692822,0.6483863,1.0968138,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
83592575,15.230981,14.810461,8.9156,12.645704,0.0,27.644812,0.64645773,1.1010311,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
84092946,15.374162,15.007204,5.4932003,8.064087,0.0,28.453466,0.6449125,1.0916685,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
84592668,14.255553,15.049909,11.5196,8.031771,0.0,29.499334,0.64373815,1.0895061,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
85092544,14.702996,14.923043,11.0112,10.855071,0.0,31.21947,0.6422695,1.095585,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
85595187,15.007258,14.933887,9.076799,10.111631,0.0,32.590218,0.6407585,1.0945358,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
86092561,15.034105,14.941892,12.3256,10.675262,0.0,34.09723,0.6392745,1.0940521,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
86592345,14.91777,14.975358,8.6924,9.956049,0.0,35.41684,0.6379329,1.091646,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
87092807,14.658253,14.896481,10.3044,10.607239,0.0,36.94934,0.63647205,1.0972877,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
87592632,15.060951,14.869578,9.5356,10.880175,0.0,38.4759,0.63483804,1.0986066,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
88103359,15.052003,14.888817,12.338,10.65,0.0,39.96893,0.6332099,1.0971727,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
